Team,xG PG,xGA_PG,BBTS_PERC,FTS_PERC,CS %,"OVER 2,5 PERC","UNDER 2,5 PERC",Corners FOR/ game,Corners AGAINST/game ,Cards against per game
AEK Athens FC,"2,04","0,98","0,52","0,04","0,42","0,67","0,33","6,92","3,42","5,50"
Panathinaikos FC,"1,77","0,99","0,39","0,04","0,57","0,74","0,26","5,52","2,65","5,00"
PAOK Thessaloniki FC,"1,73","1,16","0,48","0,13","0,43","0,74","0,26","5,13","3,52","4,61"
Olympiakos CFP,"1,76","0,88","0,43","0,17","0,43","0,65","0,35","5,26","2,57","4,87"
Aris Thessaloniki FC,"1,39","1,22","0,43","0,17","0,48","0,43","0,57","4,04","4,26","5,65"
Pas Lamia 1964,"1,18","1,64","0,61","0,22","0,17","0,67","0,33","3,54","5,42","5,46"
Asteras Tripolis FC,"1,19","1,55","0,52","0,26","0,26","0,65","0,35","4,13","4,26","4,91"
OFI FC,"1,32","1,41","0,43","0,39","0,22","0,43","0,57","4,17","4,35","5,61"
Panserraikos FC,"1,03","1,53","0,48","0,39","0,17","0,42","0,58","3,04","4,67","6,38"
Pae Aps Atromitos Athens,"1,03","1,56","0,57","0,39","0,17","0,5","0,50","3,5","5,13","5,79"
Panaitolikos GFS Agrinio,"1,31","1,49","0,48","0,39","0,22","0,57","0,43","3,78","5,04","5,04"
Volos New Football Club,"0,89","1,49","0,61","0,35","0,09","0,61","0,39","3,3","5,65","6,26"
PAS Giannina FC,"1,04","1,56","0,52","0,43","0,17","0,5","0,48","4,43","5,09","5,61"
Kifisias FC,"0,9","1,51","0,57","0,43","0,09","0,65","0,35","4,7","5,39","6,22"
Manchester City FC,"2,16","0,94","0,62","0,08","0,31","0,62","0,38","7,69","3,5","1,69"
Liverpool FC,"2,15","1,22","0,69","0,04","0,31","0,69","0,31","6,85","4,31","2,00"
Arsenal FC,"1,87","0,9","0,50","0,12","0,38","0,65","0,35","7,58","2,69","1,58"
Tottenham Hotspur FC,"1,8","1,44","0,80","0,00","0,20","0,80","0,20","5,96","6,6","2,40"
Brighton & Hove Albion FC,"1,72","1,28","0,81","0,15","0,12","0,65","0,35","5,5","4,15","2,46"
Aston Villa FC,"1,65","1,26","0,69","0,12","0,23","0,73","0,27","6,23","4,15","2,65"
Manchester United FC,"1,53","1,61","0,50","0,27","0,27","0,65","0,35","6,46","6,69","2,46"
Chelsea FC,"1,5","1,47","0,64","0,20","0,20","0,60","0,40","5,04","5,16","3,28"
Newcastle United FC,"1,5","1,54","0,58","0,15","0,27","0,73","0,27","4,69","5,04","2,19"
Everton FC,"1,45","1,44","0,38","0,38","0,31","0,46","0,54","4,62","6,23","2,12"
AFC Bournemouth,"1,43","1,55","0,60","0,24","0,20","0,68","0,32",6,"5,72","1,96"
Brentford FC,"1,39","1,67","0,65","0,19","0,15","0,69","0,31","4,69","5,85","2,19"
Fulham FC,"1,38","1,56","0,46","0,38","0,23","0,62","0,38","5,85","4,88","2,46"
Wolverhampton Wanderers FC,"1,18","1,52","0,69","0,15","0,19","0,65","0,35","4,27","5,88","2,54"
Crystal Palace FC,"1,14","1,4","0,62","0,23","0,23","0,58","0,42","4,77","4,85","1,92"
West Ham United FC,"1,13","1,79","0,62","0,23","0,19","0,65","0,35","4,08","6,04","2,38"
Luton Town FC,"1,13","1,77","0,76","0,16","0,08","0,72","0,28","5,6","5,72","1,92"
Nottingham Forest FC,"0,96","1,52","0,65","0,23","0,15","0,58","0,42","3,73","6,46","2,31"
Burnley FC,"0,91","1,66","0,54","0,38","0,08","0,62","0,38","4,88","6,42","0,02"
Sheffield United FC,"0,82","1,85","0,54","0,42","0,04","0,65","0,35","3,42","7,31","2,96"
